x,y,width,height,label
-35.28477033438028,120.45983910551152,10.0,10.0,0
-413.00989295055547,11.942856930933736,10.0,10.0,1
-443.8980831957467,203.79849953812175,10.0,10.0,1
-432.23257173392295,-13.109584594060152,10.0,10.0,1
-452.70911673723407,332.5169466453452,10.0,10.0,1
-500.0,421.3427456260175,10.0,10.0,1
-442.7736458107521,1.0496976485724012,10.0,10.0,1
-471.62459515975127,190.8255783570845,10.0,10.0,1
-452.92560467038527,109.35939970410791,10.0,10.0,1
-455.5499524168913,-44.60091114779888,10.0,10.0,1
-442.5941335104416,225.91775011607137,10.0,10.0,1
-471.25847445088914,-54.156002354488805,10.0,10.0,1
-442.14322435023195,-174.7604303188217,10.0,10.0,1
-459.53901225882845,-9.974568472059534,10.0,10.0,1
-435.8293477251851,-113.25324076381561,10.0,10.0,1
-445.71527025227704,291.72427425849725,10.0,10.0,1
-409.27720664701053,172.62321406995545,10.0,10.0,1
-447.8658025160149,12.00420126768369,10.0,10.0,1
-440.5757794673721,227.88013868347343,10.0,10.0,1
-429.44959301620634,173.7696765434414,10.0,10.0,1
-450.34837325956136,256.8994843144472,10.0,10.0,1
-457.82696777889015,159.95509217945832,10.0,10.0,1
-465.51714129817697,119.74461437766674,10.0,10.0,1
-459.78818630726346,65.12876028610918,10.0,10.0,1
-463.55373264898174,110.0132703149861,10.0,10.0,1
-479.0783772430774,-19.36860525467769,10.0,10.0,1
-476.47984903051304,360.8102870624447,10.0,10.0,1
-426.1686501739633,-116.82000895657625,10.0,10.0,1
-462.7683030611104,251.24306111915428,10.0,10.0,1
-424.23318212347453,252.59658000239602,10.0,10.0,1
-443.2977457779535,35.21586507745579,10.0,10.0,1
-467.71195400723843,52.291092842879245,10.0,10.0,1
-478.6848744195811,138.79124283928022,10.0,10.0,1
-462.37743391476295,-198.24322812971906,10.0,10.0,1
-471.4849412580626,454.24069683348404,10.0,10.0,1
-459.3725837456233,95.14856140443152,10.0,10.0,1
-451.3705537409719,228.36805091276017,10.0,10.0,1
-439.2366234531846,173.4437196038732,10.0,10.0,1
-454.0061496138666,-83.83802676563616,10.0,10.0,1
-435.9965980421151,281.66986567710813,10.0,10.0,1
-455.395302286328,23.74018438444328,10.0,10.0,1
-450.7790808109103,191.0598070968981,10.0,10.0,1
