x,y,width,height,label
-46.0,84.5,11.0,11.0,0
-421.0,-79.5,11.0,11.0,1
-460.0,44.5,11.0,11.0,1
-445.0,-92.5,11.0,11.0,1
-490.0,176.5,11.0,11.0,1
-494.0,295.5,11.0,11.0,1
-470.0,-74.5,11.0,11.0,1
-491.0,60.5,11.0,11.0,1
-460.0,-0.5,11.0,11.0,1
-470.0,-113.5,11.0,11.0,1
-452.0,93.5,11.0,11.0,1
-494.0,-118.5,11.0,11.0,1
-467.0,-243.5,11.0,11.0,1
-469.0,-85.5,11.0,11.0,1
-476.0,-190.5,11.0,11.0,1
-474.0,158.5,11.0,11.0,1
-412.0,41.5,11.0,11.0,1
-472.0,-60.5,11.0,11.0,1
-441.0,84.5,11.0,11.0,1
-448.0,44.5,11.0,11.0,1
-472.0,111.5,11.0,11.0,1
-494.0,29.5,11.0,11.0,1
-490.0,10.5,11.0,11.0,1
-475.0,-26.5,11.0,11.0,1
-500.0,0.49041533546325855,11.0,11.0,1
-500.0,-86.30824742268041,11.0,11.0,1
-497.0,207.5,11.0,11.0,1
-464.0,-190.5,11.0,11.0,1
-497.0,107.5,11.0,11.0,1
-436.0,114.5,11.0,11.0,1
-455.0,-71.5,11.0,11.0,1
-489.0,-30.5,11.0,11.0,1
-500.0,9.602378490175795,11.0,11.0,1
-500.0,-272.6913393756294,11.0,11.0,1
-474.0,312.5,11.0,11.0,1
-472.0,-7.5,11.0,11.0,1
-474.0,94.5,11.0,11.0,1
-462.0,58.5,11.0,11.0,1
-479.0,-160.5,11.0,11.0,1
-456.0,146.5,11.0,11.0,1
-497.0,-54.5,11.0,11.0,1
-471.0,47.5,11.0,11.0,1
-483.0,419.5,11.0,11.0,1
-454.0,19.5,11.0,11.0,1
-437.0,38.5,11.0,11.0,1
-498.0,-65.5,11.0,11.0,1
-487.0,96.5,11.0,11.0,1
-469.0,32.5,11.0,11.0,1
-421.0,-92.5,11.0,11.0,1
-432.0,-31.5,11.0,11.0,1
-483.0,-116.5,11.0,11.0,1
-460.0,-12.5,11.0,11.0,1
-443.0,-28.5,11.0,11.0,1
-500.0,-26.03160040774719,11.0,11.0,1
-486.0,-41.5,11.0,11.0,1
-484.0,-172.5,11.0,11.0,1
-424.0,-4.5,11.0,11.0,1
-411.0,0.5,11.0,11.0,1
-496.0,400.5,11.0,11.0,1
-444.0,-81.5,11.0,11.0,1
-500.0,-73.5625,11.0,11.0,1
-463.0,95.5,11.0,11.0,1
-449.0,125.5,11.0,11.0,1
-500.0,52.93440082644628,11.0,11.0,1
-474.0,236.5,11.0,11.0,1
-500.0,45.28765690376568,11.0,11.0,1
-451.0,183.5,11.0,11.0,1
-484.0,-149.5,11.0,11.0,1
-493.0,-78.5,11.0,11.0,1
-437.0,1.5,11.0,11.0,1
-475.0,-273.5,11.0,11.0,1
-458.0,-102.5,11.0,11.0,1
-500.0,-11.709480122324159,11.0,11.0,1
-485.0,208.5,11.0,11.0,1
-495.0,40.5,11.0,11.0,1
-471.0,-125.5,11.0,11.0,1
-500.0,-10.487804878048777,11.0,11.0,1
-415.0,23.5,11.0,11.0,1
-429.0,26.5,11.0,11.0,1
-500.0,173.79361054766736,11.0,11.0,1
-436.0,-14.5,11.0,11.0,1
-426.0,-50.5,11.0,11.0,1
-449.0,-165.5,11.0,11.0,1
-497.0,165.5,11.0,11.0,1
-500.0,70.62539515279241,11.0,11.0,1
-463.0,-224.5,11.0,11.0,1
-492.0,132.5,11.0,11.0,1
-445.0,71.5,11.0,11.0,1
-500.0,76.07222787385555,11.0,11.0,1
-500.0,-74.5392156862745,11.0,11.0,1
-461.0,134.5,11.0,11.0,1
-500.0,84.6522869022869,11.0,11.0,1
-460.0,-37.5,11.0,11.0,1
-449.0,-17.5,11.0,11.0,1
-482.0,-201.5,11.0,11.0,1
-474.0,-225.5,11.0,11.0,1
-491.0,196.5,11.0,11.0,1
-486.0,-58.5,11.0,11.0,1
-459.0,109.5,11.0,11.0,1
