x,y,width,height,label
16.0,448.0,11.0,11.0,0
389.0,98.0,11.0,11.0,1
-96.0,269.0,11.0,11.0,0
367.0,101.0,11.0,11.0,1
283.0,83.0,11.0,11.0,1
46.0,472.0,11.0,11.0,0
256.0,374.0,11.0,11.0,0
316.0,88.0,11.0,11.0,1
255.0,99.0,11.0,11.0,1
211.0,419.0,11.0,11.0,0
-106.0,231.0,11.0,11.0,0
328.0,88.0,11.0,11.0,1
84.0,478.0,11.0,11.0,0
393.0,125.0,11.0,11.0,1
-55.0,411.0,11.0,11.0,0
399.0,140.0,11.0,11.0,1
135.0,459.0,11.0,11.0,0
425.0,120.0,11.0,11.0,1
91.0,331.0,11.0,11.0,1
272.0,78.0,11.0,11.0,1
271.0,364.0,11.0,11.0,0
498.0,283.0,11.0,11.0,1
80.0,489.0,11.0,11.0,0
-72.0,303.0,11.0,11.0,0
125.0,194.0,11.0,11.0,1
460.0,225.0,11.0,11.0,1
104.0,264.0,11.0,11.0,1
259.0,74.0,11.0,11.0,1
182.0,459.0,11.0,11.0,0
185.0,474.0,11.0,11.0,0
-87.0,297.0,11.0,11.0,0
167.0,133.0,11.0,11.0,1
284.0,232.0,11.0,11.0,0
277.0,281.0,11.0,11.0,0
113.0,497.0,11.0,11.0,0
24.0,472.0,11.0,11.0,0
-47.0,422.0,11.0,11.0,0
484.0,279.0,11.0,11.0,1
258.0,335.0,11.0,11.0,0
281.0,206.0,11.0,11.0,0
-62.0,375.0,11.0,11.0,0
169.0,461.0,11.0,11.0,0
-99.0,309.0,11.0,11.0,0
-43.0,403.0,11.0,11.0,0
481.0,340.0,11.0,11.0,1
-76.0,332.0,11.0,11.0,0
131.0,482.0,11.0,11.0,0
421.0,143.0,11.0,11.0,1
-3.0,448.0,11.0,11.0,0
19.0,459.0,11.0,11.0,0
146.0,161.0,11.0,11.0,1
-93.0,220.0,11.0,11.0,0
236.0,399.0,11.0,11.0,0
107.0,482.0,11.0,11.0,0
330.0,77.0,11.0,11.0,1
482.0,241.0,11.0,11.0,1
286.0,305.0,11.0,11.0,0
158.0,158.0,11.0,11.0,1
439.0,171.0,11.0,11.0,1
11.0,471.0,11.0,11.0,0
183.0,448.0,11.0,11.0,0
488.0,316.0,11.0,11.0,1
387.0,111.0,11.0,11.0,1
129.0,167.0,11.0,11.0,1
98.0,241.0,11.0,11.0,1
256.0,386.0,11.0,11.0,0
136.0,195.0,11.0,11.0,1
103.0,300.0,11.0,11.0,1
93.0,261.0,11.0,11.0,1
345.0,65.0,11.0,11.0,1
382.0,123.0,11.0,11.0,1
-106.0,243.0,11.0,11.0,0
46.0,485.0,11.0,11.0,0
427.0,159.0,11.0,11.0,1
472.0,219.0,11.0,11.0,1
104.0,253.0,11.0,11.0,1
147.0,197.0,11.0,11.0,1
195.0,456.0,11.0,11.0,0
239.0,88.0,11.0,11.0,1
118.0,481.0,11.0,11.0,0
308.0,74.0,11.0,11.0,1
285.0,266.0,11.0,11.0,0
426.0,170.0,11.0,11.0,1
356.0,103.0,11.0,11.0,1
128.0,206.0,11.0,11.0,1
146.0,462.0,11.0,11.0,0
257.0,351.0,11.0,11.0,0
102.0,337.0,11.0,11.0,1
297.0,224.0,11.0,11.0,0
30.0,460.0,11.0,11.0,0
471.0,241.0,11.0,11.0,1
487.0,305.0,11.0,11.0,1
91.0,493.0,11.0,11.0,0
374.0,88.0,11.0,11.0,1
35.0,478.0,11.0,11.0,0
219.0,112.0,11.0,11.0,1
494.0,341.0,11.0,11.0,1
196.0,121.0,11.0,11.0,1
271.0,339.0,11.0,11.0,0
141.0,183.0,11.0,11.0,1
-32.0,406.0,11.0,11.0,0
111.0,216.0,11.0,11.0,1
44.0,460.0,11.0,11.0,0
-24.0,419.0,11.0,11.0,0
67.0,499.0,11.0,11.0,0
222.0,418.0,11.0,11.0,0
-105.0,204.0,11.0,11.0,0
54.0,498.0,11.0,11.0,0
90.0,293.0,11.0,11.0,1
224.0,76.0,11.0,11.0,1
476.0,309.0,11.0,11.0,1
250.0,86.0,11.0,11.0,1
-84.0,276.0,11.0,11.0,0
297.0,69.0,11.0,11.0,1
416.0,154.0,11.0,11.0,1
184.0,98.0,11.0,11.0,1
69.0,487.0,11.0,11.0,0
243.0,387.0,11.0,11.0,0
-64.0,388.0,11.0,11.0,0
130.0,183.0,11.0,11.0,1
275.0,66.0,11.0,11.0,1
298.0,212.0,11.0,11.0,0
219.0,430.0,11.0,11.0,0
-18.0,444.0,11.0,11.0,0
273.0,241.0,11.0,11.0,0
344.0,102.0,11.0,11.0,1
-54.0,400.0,11.0,11.0,0
211.0,86.0,11.0,11.0,1
-85.0,320.0,11.0,11.0,0
473.0,230.0,11.0,11.0,1
470.0,206.0,11.0,11.0,1
173.0,484.0,11.0,11.0,0
143.0,485.0,11.0,11.0,0
167.0,146.0,11.0,11.0,1
87.0,466.0,11.0,11.0,0
222.0,407.0,11.0,11.0,0
79.0,313.0,11.0,11.0,1
151.0,172.0,11.0,11.0,1
498.0,303.0,11.0,11.0,1
399.0,113.0,11.0,11.0,1
185.0,123.0,11.0,11.0,1
269.0,350.0,11.0,11.0,0
207.0,109.0,11.0,11.0,1
220.0,99.0,11.0,11.0,1
330.0,66.0,11.0,11.0,1
231.0,100.0,11.0,11.0,1
115.0,205.0,11.0,11.0,1
432.0,145.0,11.0,11.0,1
208.0,98.0,11.0,11.0,1
-25.0,430.0,11.0,11.0,0
121.0,470.0,11.0,11.0,0
101.0,229.0,11.0,11.0,1
144.0,150.0,11.0,11.0,1
490.0,266.0,11.0,11.0,1
-50.0,377.0,11.0,11.0,0
-67.0,363.0,11.0,11.0,0
230.0,431.0,11.0,11.0,0
109.0,469.0,11.0,11.0,0
263.0,60.0,11.0,11.0,1
471.0,254.0,11.0,11.0,1
126.0,493.0,11.0,11.0,0
-17.0,455.0,11.0,11.0,0
482.0,254.0,11.0,11.0,1
235.0,77.0,11.0,11.0,1
249.0,399.0,11.0,11.0,0
242.0,101.0,11.0,11.0,1
341.0,76.0,11.0,11.0,1
299.0,276.0,11.0,11.0,0
476.0,290.0,11.0,11.0,1
172.0,448.0,11.0,11.0,0
437.0,182.0,11.0,11.0,1
350.0,90.0,11.0,11.0,1
-89.0,331.0,11.0,11.0,0
-95.0,257.0,11.0,11.0,0
449.0,183.0,11.0,11.0,1
155.0,147.0,11.0,11.0,1
-74.0,320.0,11.0,11.0,0
-108.0,272.0,11.0,11.0,0
160.0,481.0,11.0,11.0,0
276.0,292.0,11.0,11.0,0
174.0,122.0,11.0,11.0,1
339.0,88.0,11.0,11.0,1
245.0,376.0,11.0,11.0,0
-1.0,471.0,11.0,11.0,0
246.0,338.0,11.0,11.0,0
305.0,85.0,11.0,11.0,1
132.0,153.0,11.0,11.0,1
374.0,112.0,11.0,11.0,1
246.0,353.0,11.0,11.0,0
102.0,311.0,11.0,11.0,1
110.0,277.0,11.0,11.0,1
208.0,443.0,11.0,11.0,0
481.0,327.0,11.0,11.0,1
86.0,347.0,11.0,11.0,1
448.0,207.0,11.0,11.0,1
233.0,412.0,11.0,11.0,0
87.0,275.0,11.0,11.0,1
284.0,254.0,11.0,11.0,0
57.0,487.0,11.0,11.0,0
410.0,142.0,11.0,11.0,1
156.0,136.0,11.0,11.0,1
194.0,110.0,11.0,11.0,1
180.0,134.0,11.0,11.0,1
98.0,276.0,11.0,11.0,1
102.0,494.0,11.0,11.0,0
-95.0,241.0,11.0,11.0,0
109.0,242.0,11.0,11.0,1
432.0,133.0,11.0,11.0,1
-2.0,437.0,11.0,11.0,0
484.0,224.0,11.0,11.0,1
288.0,294.0,11.0,11.0,0
197.0,430.0,11.0,11.0,0
-70.0,345.0,11.0,11.0,0
-55.0,364.0,11.0,11.0,0
-93.0,342.0,11.0,11.0,0
378.0,100.0,11.0,11.0,1
-31.0,441.0,11.0,11.0,0
173.0,473.0,11.0,11.0,0
412.0,116.0,11.0,11.0,1
487.0,292.0,11.0,11.0,1
115.0,259.0,11.0,11.0,1
-107.0,256.0,11.0,11.0,0
439.0,159.0,11.0,11.0,1
368.0,77.0,11.0,11.0,1
460.0,185.0,11.0,11.0,1
286.0,70.0,11.0,11.0,1
122.0,217.0,11.0,11.0,1
288.0,277.0,11.0,11.0,0
95.0,481.0,11.0,11.0,0
298.0,56.0,11.0,11.0,1
-104.0,215.0,11.0,11.0,0
135.0,471.0,11.0,11.0,0
488.0,352.0,11.0,11.0,1
91.0,313.0,11.0,11.0,1
299.0,246.0,11.0,11.0,0
97.0,350.0,11.0,11.0,1
405.0,129.0,11.0,11.0,1
246.0,74.0,11.0,11.0,1
7.0,459.0,11.0,11.0,0
459.0,207.0,11.0,11.0,1
-13.0,433.0,11.0,11.0,0
362.0,90.0,11.0,11.0,1
140.0,172.0,11.0,11.0,1
-73.0,374.0,11.0,11.0,0
226.0,88.0,11.0,11.0,1
-35.0,417.0,11.0,11.0,0
298.0,305.0,11.0,11.0,0
416.0,131.0,11.0,11.0,1
492.0,329.0,11.0,11.0,1
158.0,458.0,11.0,11.0,0
275.0,308.0,11.0,11.0,0
468.0,265.0,11.0,11.0,1
319.0,75.0,11.0,11.0,1
294.0,81.0,11.0,11.0,1
-107.0,286.0,11.0,11.0,0
-82.0,343.0,11.0,11.0,0
296.0,260.0,11.0,11.0,0
101.0,288.0,11.0,11.0,1
-99.0,297.0,11.0,11.0,0
197.0,441.0,11.0,11.0,0
-78.0,357.0,11.0,11.0,0
223.0,396.0,11.0,11.0,0
34.0,448.0,11.0,11.0,0
479.0,266.0,11.0,11.0,1
261.0,85.0,11.0,11.0,1
-59.0,351.0,11.0,11.0,0
245.0,411.0,11.0,11.0,0
