x,y,width,height,label
-348.5,368.5,11.0,11.0,0
-121.5,-325.5,11.0,11.0,2
109.5,-209.5,11.0,11.0,1
-303.5,-275.5,11.0,11.0,2
-141.5,189.5,11.0,11.0,0
-203.5,253.5,11.0,11.0,0
-167.5,-321.5,11.0,11.0,2
-119.5,-395.5,11.0,11.0,2
141.5,-273.5,11.0,11.0,1
99.5,-151.5,11.0,11.0,1
-238.5,-367.5,11.0,11.0,2
175.5,-219.5,11.0,11.0,1
-203.5,-329.5,11.0,11.0,2
-388.5,-133.5,11.0,11.0,2
140.5,-177.5,11.0,11.0,1
113.5,-232.5,11.0,11.0,1
-330.5,-235.5,11.0,11.0,2
227.5,-273.5,11.0,11.0,1
-113.5,-447.5,11.0,11.0,2
-371.5,413.5,11.0,11.0,0
-262.5,273.5,11.0,11.0,0
67.5,-176.5,11.0,11.0,1
-96.5,-389.5,11.0,11.0,2
-47.5,154.5,11.0,11.0,0
158.5,-209.5,11.0,11.0,1
316.5,-319.5,11.0,11.0,1
-166.5,266.5,11.0,11.0,0
-181.5,180.5,11.0,11.0,0
-273.5,267.5,11.0,11.0,0
229.5,-259.5,11.0,11.0,1
-246.5,-243.5,11.0,11.0,2
-210.5,278.5,11.0,11.0,0
266.5,-235.5,11.0,11.0,1
-180.5,-305.5,11.0,11.0,2
-266.5,335.5,11.0,11.0,0
-331.5,-246.5,11.0,11.0,2
-168.5,254.5,11.0,11.0,0
-181.5,-399.5,11.0,11.0,2
226.5,-236.5,11.0,11.0,1
-293.5,-232.5,11.0,11.0,2
-243.5,342.5,11.0,11.0,0
44.5,-166.5,11.0,11.0,1
-402.5,436.5,11.0,11.0,0
-228.5,-326.5,11.0,11.0,2
334.5,-346.5,11.0,11.0,1
150.5,-233.5,11.0,11.0,1
-215.5,214.5,11.0,11.0,0
97.5,-208.5,11.0,11.0,1
-171.5,236.5,11.0,11.0,0
-359.5,331.5,11.0,11.0,0
302.5,-375.5,11.0,11.0,1
-149.5,-409.5,11.0,11.0,2
360.5,-343.5,11.0,11.0,1
-141.5,200.5,11.0,11.0,0
-192.5,-290.5,11.0,11.0,2
-255.5,-257.5,11.0,11.0,2
-224.5,-369.5,11.0,11.0,2
-178.5,-412.5,11.0,11.0,2
297.5,-359.5,11.0,11.0,1
-366.5,-170.5,11.0,11.0,2
-53.5,140.5,11.0,11.0,0
-94.5,-377.5,11.0,11.0,2
-168.5,-291.5,11.0,11.0,2
64.5,-187.5,11.0,11.0,1
-180.5,-288.5,11.0,11.0,2
-32.5,126.5,11.0,11.0,0
-219.5,-391.5,11.0,11.0,2
340.5,-409.5,11.0,11.0,1
220.5,-308.5,11.0,11.0,1
-215.5,289.5,11.0,11.0,0
-116.5,-349.5,11.0,11.0,2
-187.5,306.5,11.0,11.0,0
128.5,-159.5,11.0,11.0,1
-259.5,-245.5,11.0,11.0,2
-201.5,218.5,11.0,11.0,0
-301.5,294.5,11.0,11.0,0
-85.5,163.5,11.0,11.0,0
-95.5,-344.5,11.0,11.0,2
-211.5,-369.5,11.0,11.0,2
336.5,-306.5,11.0,11.0,1
-148.5,-371.5,11.0,11.0,2
