x,y,width,height,label
210.0,191.0,10.0,10.0,0
159.0,139.0,10.0,10.0,2
187.0,164.0,10.0,10.0,1
193.0,163.0,10.0,10.0,2
-429.0,-430.0,10.0,10.0,0
196.0,181.0,10.0,10.0,0
425.0,420.0,10.0,10.0,2
-389.0,-403.0,10.0,10.0,2
408.0,399.0,10.0,10.0,1
377.0,371.0,10.0,10.0,1
200.0,168.0,10.0,10.0,2
154.0,133.0,10.0,10.0,1
403.0,403.0,10.0,10.0,2
-433.0,-439.0,10.0,10.0,2
128.0,105.0,10.0,10.0,1
-404.0,-399.0,10.0,10.0,1
150.0,124.0,10.0,10.0,2
447.0,453.0,10.0,10.0,1
-377.0,-372.0,10.0,10.0,2
-386.0,-384.0,10.0,10.0,0
182.0,157.0,10.0,10.0,0
339.0,335.0,10.0,10.0,1
164.0,142.0,10.0,10.0,2
-387.0,-384.0,10.0,10.0,0
356.0,354.0,10.0,10.0,1
-396.0,-398.0,10.0,10.0,1
-457.0,-463.0,10.0,10.0,0
147.0,117.0,10.0,10.0,0
-415.0,-431.0,10.0,10.0,0
253.0,217.0,10.0,10.0,1
362.0,364.0,10.0,10.0,2
-389.0,-397.0,10.0,10.0,0
-458.0,-471.0,10.0,10.0,1
441.0,442.0,10.0,10.0,2
NaN,-500.0,10.0,10.0,0
-438.0,-442.0,10.0,10.0,2
-433.0,-425.0,10.0,10.0,0
326.0,337.0,10.0,10.0,2
378.0,379.0,10.0,10.0,1
-440.0,-452.0,10.0,10.0,2
360.0,371.0,10.0,10.0,0
411.0,406.0,10.0,10.0,1
-478.0,-486.0,10.0,10.0,0
403.0,404.0,10.0,10.0,2
-348.0,-350.0,10.0,10.0,1
-443.0,-445.0,10.0,10.0,1
210.0,186.0,10.0,10.0,0
-395.0,-406.0,10.0,10.0,1
178.0,151.0,10.0,10.0,0
139.0,106.0,10.0,10.0,0
-368.0,-375.0,10.0,10.0,1
191.0,162.0,10.0,10.0,2
-407.0,-413.0,10.0,10.0,1
189.0,156.0,10.0,10.0,0
396.0,386.0,10.0,10.0,2
199.0,172.0,10.0,10.0,2
138.0,112.0,10.0,10.0,2
-434.0,-437.0,10.0,10.0,2
117.0,93.0,10.0,10.0,1
-468.0,-473.0,10.0,10.0,2
389.0,387.0,10.0,10.0,0
441.0,440.0,10.0,10.0,2
142.0,116.0,10.0,10.0,2
250.0,223.0,10.0,10.0,1
-445.0,-439.0,10.0,10.0,2
411.0,410.0,10.0,10.0,0
-421.0,-421.0,10.0,10.0,2
-463.0,-468.0,10.0,10.0,1
462.0,452.0,10.0,10.0,1
-432.0,-440.0,10.0,10.0,0
113.0,90.0,10.0,10.0,2
-384.0,-392.0,10.0,10.0,0
338.0,329.0,10.0,10.0,1
-439.0,-442.0,10.0,10.0,2
193.0,169.0,10.0,10.0,0
156.0,129.0,10.0,10.0,0
205.0,182.0,10.0,10.0,0
-335.0,-331.0,10.0,10.0,2
229.0,202.0,10.0,10.0,2
431.0,436.0,10.0,10.0,1
-412.0,-412.0,10.0,10.0,2
388.0,387.0,10.0,10.0,2
-367.0,-376.0,10.0,10.0,0
-431.0,-430.0,10.0,10.0,2
-405.0,-411.0,10.0,10.0,0
-416.0,-428.0,10.0,10.0,2
-420.0,-435.0,10.0,10.0,2
438.0,430.0,10.0,10.0,2
-406.0,-411.0,10.0,10.0,0
417.0,414.0,10.0,10.0,2
215.0,188.0,10.0,10.0,1
159.0,143.0,10.0,10.0,0
443.0,437.0,10.0,10.0,0
441.0,451.0,10.0,10.0,1
413.0,411.0,10.0,10.0,0
128.0,110.0,10.0,10.0,1
172.0,141.0,10.0,10.0,0
333.0,331.0,10.0,10.0,1
-415.0,-418.0,10.0,10.0,0
412.0,400.0,10.0,10.0,2
-408.0,-402.0,10.0,10.0,1
-475.0,-473.0,10.0,10.0,0
345.0,348.0,10.0,10.0,1
-359.0,-368.0,10.0,10.0,2
412.0,418.0,10.0,10.0,1
135.0,115.0,10.0,10.0,1
-438.0,-436.0,10.0,10.0,1
-443.0,-448.0,10.0,10.0,2
399.0,404.0,10.0,10.0,0
176.0,144.0,10.0,10.0,0
345.0,343.0,10.0,10.0,1
387.0,387.0,10.0,10.0,0
489.0,481.0,10.0,10.0,1
184.0,159.0,10.0,10.0,2
407.0,400.0,10.0,10.0,1
125.0,94.0,10.0,10.0,1
418.0,419.0,10.0,10.0,2
180.0,149.0,10.0,10.0,0
-422.0,-434.0,10.0,10.0,1
-422.0,-428.0,10.0,10.0,1
404.0,401.0,10.0,10.0,2
135.0,118.0,10.0,10.0,1
