x,y,width,height,label
45.5,107.5,11.0,11.0,1
-463.5,133.5,11.0,11.0,0
65.5,-108.5,11.0,11.0,1
-47.5,-459.5,11.0,11.0,0
412.5,231.5,11.0,11.0,0
-107.5,-9.5,11.0,11.0,1
-360.5,-255.5,11.0,11.0,0
466.5,42.5,11.0,11.0,0
10.5,-44.5,11.0,11.0,1
356.5,299.5,11.0,11.0,0
-22.5,72.5,11.0,11.0,1
20.5,-95.5,11.0,11.0,1
26.5,-132.5,11.0,11.0,1
-79.5,458.5,11.0,11.0,0
142.5,-426.5,11.0,11.0,0
-12.5,113.5,11.0,11.0,1
-381.5,265.5,11.0,11.0,0
-39.5,-41.5,11.0,11.0,1
-13.5,-62.5,11.0,11.0,1
122.5,-84.5,11.0,11.0,1
462.5,108.5,11.0,11.0,0
-69.5,8.5,11.0,11.0,1
491.5,-189.5,11.0,11.0,0
-132.5,-428.5,11.0,11.0,0
89.5,96.5,11.0,11.0,1
464.5,126.5,11.0,11.0,0
152.5,-23.5,11.0,11.0,1
53.5,-114.5,11.0,11.0,1
-65.5,-39.5,11.0,11.0,1
136.5,85.5,11.0,11.0,1
-447.5,-26.5,11.0,11.0,0
258.5,402.5,11.0,11.0,0
-442.5,0.5,11.0,11.0,0
244.5,437.5,11.0,11.0,0
-445.5,35.5,11.0,11.0,0
161.5,-7.5,11.0,11.0,1
437.5,-138.5,11.0,11.0,0
105.5,-27.5,11.0,11.0,1
-431.5,-164.5,11.0,11.0,0
58.5,465.5,11.0,11.0,0
476.5,-68.5,11.0,11.0,0
324.5,-366.5,11.0,11.0,0
-70.5,-466.5,11.0,11.0,0
6.5,-137.5,11.0,11.0,1
467.5,17.5,11.0,11.0,0
-89.5,-71.5,11.0,11.0,1
145.5,-65.5,11.0,11.0,1
452.5,-84.5,11.0,11.0,0
435.5,-240.5,11.0,11.0,0
-52.5,100.5,11.0,11.0,1
-314.5,-377.5,11.0,11.0,0
56.5,-42.5,11.0,11.0,1
141.5,-27.5,11.0,11.0,1
102.5,26.5,11.0,11.0,1
-73.5,-58.5,11.0,11.0,1
-438.5,84.5,11.0,11.0,0
-378.5,285.5,11.0,11.0,0
135.5,97.5,11.0,11.0,1
421.5,-157.5,11.0,11.0,0
52.5,144.5,11.0,11.0,1
-67.5,31.5,11.0,11.0,1
472.5,-106.5,11.0,11.0,0
-45.5,26.5,11.0,11.0,1
-2.5,-54.5,11.0,11.0,1
303.5,-309.5,11.0,11.0,0
80.5,17.5,11.0,11.0,1
172.5,-0.5,11.0,11.0,1
365.5,284.5,11.0,11.0,0
412.5,-228.5,11.0,11.0,0
396.5,241.5,11.0,11.0,0
9.5,-99.5,11.0,11.0,1
92.5,37.5,11.0,11.0,1
151.5,-51.5,11.0,11.0,1
-15.5,102.5,11.0,11.0,1
-7.5,458.5,11.0,11.0,0
109.5,-95.5,11.0,11.0,1
395.5,-272.5,11.0,11.0,0
72.5,-57.5,11.0,11.0,1
66.5,-18.5,11.0,11.0,1
458.5,-159.5,11.0,11.0,0
-65.5,43.5,11.0,11.0,1
-340.5,243.5,11.0,11.0,0
75.5,-452.5,11.0,11.0,0
85.5,84.5,11.0,11.0,1
-59.5,-74.5,11.0,11.0,1
44.5,-30.5,11.0,11.0,1
474.5,114.5,11.0,11.0,0
304.5,379.5,11.0,11.0,0
-142.5,457.5,11.0,11.0,0
148.5,457.5,11.0,11.0,0
142.5,34.5,11.0,11.0,1
-482.5,-84.5,11.0,11.0,0
308.5,-397.5,11.0,11.0,0
-206.5,416.5,11.0,11.0,0
54.5,-98.5,11.0,11.0,1
55.5,132.5,11.0,11.0,1
174.5,453.5,11.0,11.0,0
224.5,422.5,11.0,11.0,0
-442.5,-170.5,11.0,11.0,0
432.5,166.5,11.0,11.0,0
-317.5,-351.5,11.0,11.0,0
