x,y,width,height,label
-396.0,-310.0,11.0,11.0,0
115.0,-483.0,11.0,11.0,0
-199.0,122.0,11.0,11.0,1
-218.0,-446.0,11.0,11.0,0
-500.0,67.0,11.0,11.0,0
-243.0,-75.0,11.0,11.0,1
-72.0,-499.0,11.0,11.0,0
225.0,59.0,11.0,11.0,1
466.0,-126.0,11.0,11.0,0
265.0,-398.0,11.0,11.0,0
-430.0,-264.0,11.0,11.0,0
156.0,-172.0,11.0,11.0,1
-26.907922912205606,-500.0,11.0,11.0,0
-437.0,-249.0,11.0,11.0,0
248.0,16.0,11.0,11.0,1
-183.0,-183.0,11.0,11.0,1
475.0,137.0,11.0,11.0,0
1.0,242.0,11.0,11.0,1
483.0,24.0,11.0,11.0,0
-454.0,182.0,11.0,11.0,0
475.0,148.0,11.0,11.0,0
132.0,-213.0,11.0,11.0,1
167.0,148.0,11.0,11.0,1
479.0,-37.0,11.0,11.0,0
208.0,94.0,11.0,11.0,1
235.0,-65.0,11.0,11.0,1
181.0,129.0,11.0,11.0,1
35.0,-494.0,11.0,11.0,0
246.0,-11.0,11.0,11.0,1
-201.0,-177.0,11.0,11.0,1
-235.0,24.0,11.0,11.0,1
-245.0,62.0,11.0,11.0,1
-298.0,-388.0,11.0,11.0,0
178.0,-449.0,11.0,11.0,0
-11.0,240.0,11.0,11.0,1
213.0,-92.0,11.0,11.0,1
-465.0,187.0,11.0,11.0,0
475.0,-80.0,11.0,11.0,0
-437.0,-227.0,11.0,11.0,0
-406.0,-277.0,11.0,11.0,0
-446.0,226.0,11.0,11.0,0
-234.0,66.0,11.0,11.0,1
-27.0,499.0,11.0,11.0,0
-257.0,14.0,11.0,11.0,1
-127.0,468.0,11.0,11.0,0
157.0,199.0,11.0,11.0,1
253.0,-425.0,11.0,11.0,0
64.0,492.0,11.0,11.0,0
159.0,187.0,11.0,11.0,1
167.0,-164.0,11.0,11.0,1
-204.0,458.0,11.0,11.0,0
-66.0,-232.0,11.0,11.0,1
-275.0,406.0,11.0,11.0,0
258.0,424.0,11.0,11.0,0
-111.0,481.0,11.0,11.0,0
-62.0,216.0,11.0,11.0,1
261.0,16.0,11.0,11.0,1
154.0,-184.0,11.0,11.0,1
224.0,-90.0,11.0,11.0,1
-246.0,24.0,11.0,11.0,1
238.0,50.0,11.0,11.0,1
-321.0,-389.0,11.0,11.0,0
-303.0,410.0,11.0,11.0,0
147.0,457.0,11.0,11.0,0
431.0,-248.0,11.0,11.0,0
308.0,374.0,11.0,11.0,0
232.0,-31.0,11.0,11.0,1
-233.0,-18.0,11.0,11.0,1
-92.0,-250.0,11.0,11.0,1
-216.0,-145.0,11.0,11.0,1
59.0,-248.0,11.0,11.0,1
202.0,-120.0,11.0,11.0,1
418.0,234.0,11.0,11.0,0
-152.0,-211.0,11.0,11.0,1
219.0,443.0,11.0,11.0,0
-211.0,110.0,11.0,11.0,1
28.0,-227.0,11.0,11.0,1
169.0,452.0,11.0,11.0,0
151.0,170.0,11.0,11.0,1
236.0,8.0,11.0,11.0,1
128.0,-225.0,11.0,11.0,1
207.0,439.0,11.0,11.0,0
216.0,-79.0,11.0,11.0,1
484.0,-91.0,11.0,11.0,0
-10.0,-256.0,11.0,11.0,1
-375.0,326.0,11.0,11.0,0
112.0,212.0,11.0,11.0,1
141.0,-487.0,11.0,11.0,0
-472.0,-138.0,11.0,11.0,0
74.0,-218.0,11.0,11.0,1
281.0,412.0,11.0,11.0,0
479.0,109.0,11.0,11.0,0
-106.0,-487.0,11.0,11.0,0
-225.0,447.0,11.0,11.0,0
447.0,159.0,11.0,11.0,0
244.0,-35.0,11.0,11.0,1
-50.0,-233.0,11.0,11.0,1
222.0,111.0,11.0,11.0,1
-337.0,-361.0,11.0,11.0,0
213.0,-116.0,11.0,11.0,1
-80.0,-482.0,11.0,11.0,0
143.0,-208.0,11.0,11.0,1
237.0,-116.0,11.0,11.0,1
109.0,-212.0,11.0,11.0,1
264.0,-421.0,11.0,11.0,0
102.0,223.0,11.0,11.0,1
312.0,-387.0,11.0,11.0,0
240.0,-427.0,11.0,11.0,0
-244.0,50.0,11.0,11.0,1
348.0,344.0,11.0,11.0,0
-371.0,-344.0,11.0,11.0,0
435.0,-221.0,11.0,11.0,0
-303.0,381.0,11.0,11.0,0
23.0,-252.0,11.0,11.0,1
-430.0,248.0,11.0,11.0,0
-328.0,-378.0,11.0,11.0,0
-165.0,186.0,11.0,11.0,1
459.0,-170.0,11.0,11.0,0
-107.0,222.0,11.0,11.0,1
-30.0,485.0,11.0,11.0,0
492.0,-32.0,11.0,11.0,0
100.0,479.0,11.0,11.0,0
199.0,112.0,11.0,11.0,1
-486.0,100.0,11.0,11.0,0
-438.0,-238.0,11.0,11.0,0
171.0,-460.0,11.0,11.0,0
-192.0,-149.0,11.0,11.0,1
240.0,38.0,11.0,11.0,1
50.0,-499.0,11.0,11.0,0
121.0,-214.0,11.0,11.0,1
113.0,464.0,11.0,11.0,0
-96.0,241.0,11.0,11.0,1
411.0,268.0,11.0,11.0,0
206.0,136.0,11.0,11.0,1
-411.0,261.0,11.0,11.0,0
23.0,251.0,11.0,11.0,1
-119.0,241.0,11.0,11.0,1
-236.0,-97.0,11.0,11.0,1
-61.0,498.0,11.0,11.0,0
-419.0,-263.0,11.0,11.0,0
129.0,-200.0,11.0,11.0,1
467.0,105.0,11.0,11.0,0
-467.0,-187.0,11.0,11.0,0
-209.0,-124.0,11.0,11.0,1
-226.0,434.0,11.0,11.0,0
-244.0,-7.0,11.0,11.0,1
-500.0,36.57684630738524,11.0,11.0,0
-10.0,268.0,11.0,11.0,1
429.0,229.0,11.0,11.0,0
-151.0,214.0,11.0,11.0,1
223.0,432.0,11.0,11.0,0
