x,y,width,height,label
311.0,330.0,10.0,10.0,0
260.0,-329.0,10.0,10.0,1
-145.0,-407.0,10.0,10.0,1
-353.0,218.14285714285714,10.0,10.0,1
-52.0,473.5,10.0,10.0,0
249.0,293.0,10.0,10.0,1
-353.0,-348.6666666666667,10.0,10.0,0
-211.0,-422.5,10.0,10.0,0
-472.5,77.5,10.0,10.0,0
377.0,284.0,10.0,10.0,0
-107.0,-435.0,10.0,10.0,0
133.0,465.0,10.0,10.0,0
-212.83333333333334,406.0,10.0,10.0,0
120.5,436.0,10.0,10.0,0
-415.5,-210.5,10.0,10.0,0
201.6,394.2,10.0,10.0,0
-396.0,283.0,10.0,10.0,0
121.08333333333333,-388.5,10.0,10.0,1
20.5,-417.25,10.0,10.0,1
-375.0,-338.0,10.0,10.0,0
-365.0,-301.2,10.0,10.0,0
-182.83333333333334,418.5,10.0,10.0,0
115.0,393.0,10.0,10.0,1
-232.0,374.0,10.0,10.0,1
-192.83333333333334,408.5,10.0,10.0,1
427.0,-83.5,10.0,10.0,1
-94.0,405.0,10.0,10.0,1
460.0,77.0,10.0,10.0,0
-408.0,217.0,10.0,10.0,0
15.5,-461.0,10.0,10.0,0
251.0,320.0,10.0,10.0,1
131.08333333333331,-395.0,10.0,10.0,1
216.0,414.2,10.0,10.0,0
196.0,322.0,10.0,10.0,1
-70.0,-423.75,10.0,10.0,1
-159.0,-405.0,10.0,10.0,1
412.0,-70.0,10.0,10.0,1
-220.0,-452.0,10.0,10.0,0
-8.0,-464.0,10.0,10.0,0
-168.0,434.0,10.0,10.0,0
-202.83333333333334,418.5,10.0,10.0,0
-124.0,371.0,10.0,10.0,1
439.0,2.000030517578125,10.0,10.0,0
207.0,356.75,10.0,10.0,1
-408.5,207.0,10.0,10.0,0
-388.0,213.5,10.0,10.0,1
-281.3333333333333,359.0,10.0,10.0,0
-395.0,-150.0,10.0,10.0,1
-409.0,1.0000012715657576,10.0,10.0,1
411.0,-221.0,10.0,10.0,0
329.0,393.0,10.0,10.0,0
-55.5,-433.75,10.0,10.0,1
381.0,221.0,10.0,10.0,1
