Dataset,Technique,Neighbors,Value
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,1,0.0
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,2,7.936507936507937E-4
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,3,0.002116402116402116
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,4,0.004761904761904762
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,5,0.008571428571428575
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,6,0.010582010582010587
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,7,0.01269841269841271
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,8,0.01369047619047619
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,9,0.014814814814814793
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,10,0.017301587301587273
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,11,0.019480519480519518
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,12,0.02129629629629632
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,13,0.02197802197802193
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,14,0.023129251700680226
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,15,0.024338624338624295
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,16,0.025694444444444443
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,17,0.028011204481792642
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,18,0.02910052910052908
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,19,0.030827067669172935
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,RWordle-L,20,0.03253968253968267
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,1,0.009523809523809525
ex-size[630]-dense_groups[3]-number_groups[5]-aspect_ratio[4].data,ProjSnippet,2,0.023015873015873017
