DY
177
8
Life expectancy at birth (years) ;Adult literacy rate (% ages 15 and older) ;Combined gross enrolment ratio for primary secondary and tertiary schools (%);GDP per capita (PPP US$) ;Life expectancy index;Education index;GDP index;GDP per capita (PPP US$) rank minus HDI rank
001-Norway;79.6;99;100;38454;0.91;0.99;0.99;3;0.965
002-Iceland;80.9;99;96;33051;0.93;0.98;0.97;3;0.96
003-Australia;80.5;99;113;30331;0.92;0.99;0.95;11;0.957
004-Ireland;77.9;99;99;38827;0.88;0.99;1;-1;0.956
005-Sweden;80.3;99;96;29541;0.92;0.98;0.95;11;0.951
006-Canada;80.2;99;93;31263;0.92;0.97;0.96;4;0.95
007-Japan;82.2;99;85;29251;0.95;0.94;0.95;11;0.949
008-United States;77.5;99;93;39676;0.88;0.97;1;-6;0.948
009-Switzerland;80.7;99;86;33040;0.93;0.95;0.97;-3;0.947
010-Netherlands;78.5;99;98;31789;0.89;0.99;0.96;-1;0.947
011-Finland;78.7;99;100;29951;0.89;0.99;0.95;4;0.947
012-Luxembourg;78.6;99;85;69961;0.89;0.94;1;-11;0.945
013-Belgium;79.1;99;95;31096;0.9;0.98;0.96;-2;0.945
014-Austria;79.2;99;91;32276;0.9;0.96;0.96;-7;0.944
015-Denmark;77.3;99;101;31914;0.87;0.99;0.96;-7;0.943
016-France;79.6;99;93;29300;0.91;0.97;0.95;1;0.942
017-Italy;80.2;98.4;89;28180;0.92;0.96;0.94;3;0.94
018-United Kingdom;78.5;99;93;30821;0.89;0.97;0.96;-5;0.94
019-Spain;79.7;98;96;25047;0.91;0.98;0.92;3;0.938
020-New Zealand;79.3;99;100;23413;0.9;0.99;0.91;5;0.936
021-Germany;78.9;99;89;28303;0.9;0.96;0.94;-2;0.932
022-Hong Kong, China (SAR);81.8;94;77;30822;0.95;0.88;0.96;-10;0.927
023-Israel;80;97.1;90;24382;0.92;0.95;0.92;0;0.927
024-Greece;78.3;96;93;22205;0.89;0.97;0.9;3;0.921
025-Singapore;78.9;92.5;87;28077;0.9;0.91;0.94;-4;0.916
026-Korea, Rep. of;77.3;98;95;20499;0.87;0.98;0.89;5;0.912
027-Slovenia;76.6;99;95;20939;0.86;0.98;0.89;1;0.91
028-Portugal;77.5;92;89;19629;0.87;0.96;0.88;5;0.904
029-Cyprus;78.7;96.8;79;22805;0.9;0.91;0.91;-3;0.903
030-Czech Republic;75.7;99;81;19408;0.85;0.93;0.88;4;0.885
031-Barbados;75.3;97;89;15720;0.84;0.96;0.84;10;0.879
032-Malta;78.6;87.9;81;18879;0.89;0.86;0.87;5;0.875
033-Kuwait;77.1;93.3;73;19384;0.87;0.87;0.88;2;0.871
034-Brunei Darussalam;76.6;92.7;77;19210;0.86;0.88;0.88;2;0.871
035-Hungary;73;99;87;16814;0.8;0.95;0.86;4;0.869
036-Argentina;74.6;97.2;89;13298;0.83;0.95;0.82;10;0.863
037-Poland;74.6;99;86;12974;0.83;0.95;0.81;11;0.862
038-Chile;78.1;95.7;81;10874;0.89;0.91;0.78;18;0.859
039-Bahrain;74.5;86.5;85;20758;0.82;0.86;0.89;-10;0.859
040-Estonia;71.6;99.8;92;14555;0.78;0.97;0.83;4;0.858
041-Lithuania;72.5;99.6;92;13107;0.79;0.97;0.81;6;0.857
042-Slovakia;74.3;100;77;14623;0.82;0.92;0.83;1;0.856
043-Uruguay;75.6;98;89;9421;0.84;0.95;0.76;19;0.851
044-Croatia;75.2;98.1;73;12191;0.84;0.9;0.8;7;0.846
045-Latvia;71.8;99.7;90;11653;0.78;0.96;0.79;9;0.845
046-Qatar;73;89;76;19844;0.8;0.85;0.88;-14;0.844
047-Seychelles;72.7;91.8;80;16652;0.8;0.88;0.85;-7;0.842
048-Costa Rica;78.3;94.9;72;9481;0.89;0.87;0.76;13;0.841
049-United Arab Emirates;78.3;77;60;24056;0.89;0.71;0.92;-25;0.839
050-Cuba;77.6;99.8;80;5700;0.88;0.93;0.67;43;0.826
051-Saint Kitts and Nevis;70;97.8;80;12702;0.75;0.92;0.81;-2;0.825
052-Bahamas;70.2;95;66;17843;0.75;0.86;0.87;-14;0.825
053-Mexico;75.3;91;75;9803;0.84;0.86;0.77;7;0.821
054-Bulgaria;72.4;98.2;81;8078;0.79;0.92;0.73;12;0.816
055-Tonga;72.4;98.9;80;7870;0.79;0.93;0.73;13;0.815
056-Oman;74.3;81.4;68;15259;0.82;0.77;0.84;-14;0.81
